xid,basis,name,path,depth,parent_xid,is_system
9b8fc0c0-0bce-47e0-9075-7893a926870c,"KNP 18 2204","Montaż przewieszek z lin stalowych dla zamontowania opraw oświetlenia zewnętrznego, wykonywany z podnośnika samochodowego","KNP 18 / KNP 18 22 / KNP 18 2204",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
6ee52218-0d6c-48c9-ba27-f6f2f449b4fe,"KNP 18 2205","Montaż zwodów rurowych z rury stalowej o śr.do 21 mm na słupach kratowych oświetlenia zewnętrznego z podnośnika samochodowego","KNP 18 / KNP 18 22 / KNP 18 2205",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
853becdc-1894-49ce-9559-f52b6c696720,"KNP 18 2206","Wciąganie przewodów w zwody rurowe lub słupy latarń oświetlenia zewnętrznego oraz wysięgniki","KNP 18 / KNP 18 22 / KNP 18 2206",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
a6558584-38bd-4f94-aabc-3f8388a2b926,"KNP 18 2207","Montaż opraw do lamp rtęciowych na wysięgnikach","KNP 18 / KNP 18 22 / KNP 18 2207",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
6c0fd7a4-9fcf-4791-b0eb-9637c4f06d85,"KNP 18 2208","Montaż opraw do lamp żarowych na wysięgnikach","KNP 18 / KNP 18 22 / KNP 18 2208",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
aedec14c-e798-40ba-a3db-dcfef394db0e,"KNP 18 2209","Montaż opraw do lamp świetlówkowych (fluorescencyjnych) na wysięgnikach i przewieszkach z linek","KNP 18 / KNP 18 22 / KNP 18 2209",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
b7794a97-ebb0-4480-bbab-be6f953e8b2a,"KNP 18 2210","Montaż skrzynek rozdzielczych na słupach kratowych latarń","KNP 18 / KNP 18 22 / KNP 18 2210",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
7cb1ecc9-b2ed-4b6a-9f25-bb945e80636e,"KNP 18 2211","Montaż tabliczek bezpiecznikowych zaciskowych we wnękach słupów latarń ulicznych i w skrzynkach","KNP 18 / KNP 18 22 / KNP 18 2211",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
9c23f405-f082-4790-87c6-0ec3ecf6cca7,"KNP 18 2212","Montaż szaf sterowniczych sygnalizacji i oświetlenia zewnętrznego na gotowych fundamentach","KNP 18 / KNP 18 22 / KNP 18 2212",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
90f28274-4862-452d-a91c-5d5d9f4e69c5,"KNP 18 2213","Montaż naświetlaczy bez osłon górnych z poziomu w zasięgu wzrostu montera","KNP 18 / KNP 18 22 / KNP 18 2213",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
4abd506c-44e4-4d00-8f75-ac384c159c23,"KNP 18 2214","Montaż naświetlaczy z osłonami górnmi z poziomu w zasięgu wzrostu montera","KNP 18 / KNP 18 22 / KNP 18 2214",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
a8a346f3-b89d-4715-934d-650728fdc4af,"KNP 18 2215","Montaż naświetlaczy bez osłon górnych z drabiny rozstawnej","KNP 18 / KNP 18 22 / KNP 18 2215",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
8fa7eba6-063d-44cf-a05f-e631cea6ee9b,"KNP 18 2216","Montaż naświetlaczy z osłonami górnmi z drabiny rozstawnej","KNP 18 / KNP 18 22 / KNP 18 2216",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
a0950732-2488-49d9-b3f1-ffcd85748765,"KNP 18 2217","Montaż naświetlaczy bez osłon górnych na wieżach projektorowych","KNP 18 / KNP 18 22 / KNP 18 2217",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
f4739eca-abba-4daa-8f40-2be7811db563,"KNP 18 2218","Montaż naświetlaczy z osłonami górnmi na wieżach projektorowych","KNP 18 / KNP 18 22 / KNP 18 2218",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
94e2e7cb-cc8c-410e-8afe-e0250073fa06,"KNP 18 2220","Montaż konsol do latarń sygnalizacji ulicznej","KNP 18 / KNP 18 22 / KNP 18 2220",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
3c0ec732-728e-41ee-b7ea-3b39390edf34,"KNP 18 2221","Montaż latarń sygnalizacji ulicznej wykonywany z drabiny rozstawnej","KNP 18 / KNP 18 22 / KNP 18 2221",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
525a87e3-1604-4d0b-b7b9-42f1828e06ca,"KNP 18 2222","Wciągnięcie przewodów do latarń i masztów sygnalizacji ulicznej oraz przyłączenie przewodów do latarń i głowic","KNP 18 / KNP 18 22 / KNP 18 2222",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
267b83e1-90b4-43d5-9bd4-5fa89a14bd09,"KNP 18 2223","Montaż pylonów ostrzegawczych","KNP 18 / KNP 18 22 / KNP 18 2223",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
54650ca7-31b3-4074-9381-d997e20cd5d1,"KNP 18 2224","Przyłączenie przewodów o przekroju do 4 mm2 do zacisków we wnękach i szafkach słupowych","KNP 18 / KNP 18 22 / KNP 18 2224",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
a772ce52-d763-41ab-9615-cf197a6dbff0,"KNP 18 46","( Dział 46 ) * Wykonanie prób pomontażowych i prac kontrolno-pomiarowych instalacji urządzeń elektrycznych i piorunochronnych","KNP 18 / KNP 18 46",1,ba73f36f-a0be-4a68-b0c4-bebb3e2678fe,true
935595db-02b6-453a-a931-b060f95f9a01,"KNP 18 4601","Instalacje i urządzenia ochrony przeciwporażeniowej dla obiektów inwentarskich i produkcyjnych","KNP 18 / KNP 18 46 / KNP 18 4601",2,a772ce52-d763-41ab-9615-cf197a6dbff0,true
7c25a606-377e-4cc2-9a97-f4a84b9983c5,"KNP 18 4602","Instalacje i urządzenia ochrony przeciwporażeniowej dla obiektów mieszkalnych","KNP 18 / KNP 18 46 / KNP 18 4602",2,a772ce52-d763-41ab-9615-cf197a6dbff0,true
aceb4fa6-9241-48b6-abe8-de73a7b96240,"KNP 18 4603","Obwody instalacji elektrycznej w budynkach inwentarskich i produkcyjnych","KNP 18 / KNP 18 46 / KNP 18 4603",2,a772ce52-d763-41ab-9615-cf197a6dbff0,true
e686a6f9-d951-47ff-9f21-884632fb67d8,"KNP 18 4604","Elementy instalacji elektrycznej","KNP 18 / KNP 18 46 / KNP 18 4604",2,a772ce52-d763-41ab-9615-cf197a6dbff0,true
338dd123-e082-429c-8f82-d53b0a044ea9,"KNP 18 4605","Obwody i elementy instalacji elektrycznych w budynkach mieszkalnych","KNP 18 / KNP 18 46 / KNP 18 4605",2,a772ce52-d763-41ab-9615-cf197a6dbff0,true
b69399a5-20f9-452e-b23a-b7409c70fc26,"KNP 18 4606","Badanie linii kablowych","KNP 18 / KNP 18 46 / KNP 18 4606",2,a772ce52-d763-41ab-9615-cf197a6dbff0,true
1479dec9-4539-4eb2-ae68-91da62c85acc,"KNP 18 4607","Badania uzupełniające","KNP 18 / KNP 18 46 / KNP 18 4607",2,a772ce52-d763-41ab-9615-cf197a6dbff0,true
6f2b126e-ab45-4dba-b47b-2ba75ac01d5c,"KNP 18 4608","Badanie silników - układu zabezpieczeń - (łącznie z protokołem)","KNP 18 / KNP 18 46 / KNP 18 4608",2,a772ce52-d763-41ab-9615-cf197a6dbff0,true
226fbbcc-5af7-40c9-b89d-606fec1a30e8,"KNP 18 4609","Badanie silników - rezystancji izolacji - (łącznie z protokołem)","KNP 18 / KNP 18 46 / KNP 18 4609",2,a772ce52-d763-41ab-9615-cf197a6dbff0,true
875cfa31-01f4-4796-95d9-fbd3f5d3058e,"KNP 18 4610","Badanie silników - badanie układu sterowania","KNP 18 / KNP 18 46 / KNP 18 4610",2,a772ce52-d763-41ab-9615-cf197a6dbff0,true
f1306be2-9ad0-425f-b53b-9fce6a09f746,"KNP 18 4611","Wypełnianie dokumentacji poprzeglądowej","KNP 18 / KNP 18 46 / KNP 18 4611",2,a772ce52-d763-41ab-9615-cf197a6dbff0,true
1be7e924-c095-4304-b31c-34c1408e035d,"KNP 18 D13","Roboty elektromontażowe silnoprądowe","KNP 18 D13",0,,true
7d79de11-43d1-4371-9d0c-5efa83c948f6,"KNP 18 D13","( Rozdział 01 ) * Urządzenia rozdzielcze i aparatura","KNP 18 D13 / KNP 18 D13",1,1be7e924-c095-4304-b31c-34c1408e035d,true
f7728de8-79a5-4304-b6ae-32fe985db49f,"KNP 18 D13 1301","Pomiary rozdzielnic niskiego napięcia","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1301",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
8b0b6153-fced-4cdf-a96f-f4bb3883ae78,"KNP 18 D13 1302","Pomiar rozdzielnic średniego napięcia","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1302",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
26f1a250-2a95-4f27-aca6-f7522de60d26,"KNP 18 D13 1303","Pomiar przekładników prądowych","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1303",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
92fb96fb-bc49-4824-a48f-696bbe68b4df,"KNP 18 D13 1304","Pomiar przekładników napięciowych wysokiego napięcia","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1304",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
a978092f-03a8-4721-9e55-64df924490ae,"KNP 18 D13 1306","Pomiar szynoprzewodów i obwodów instalacji elektrycznych niskiego napięcia","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1306",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
0a478167-3932-4e56-bd02-fc0dd357b954,"KNP 18 D13 1307","Pomiar styczników niskiego napiecia","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1307",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
fedfe279-1efb-4eb1-9481-2125f950dd76,"KNP 18 D13 1308","Pomiar wyłączników mocy wysokiego napięcia","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1308",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
8894141e-2b27-4e7f-b8e1-5c629fddffc6,"KNP 18 D13 1309","Pomiar odłączników,uziemników,zwieraczy","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1309",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
5740e09c-6b9c-493a-935b-3b2e7655ecd5,"KNP 18 D13 1310","Pomiar wyłączników niskiego napięcia.","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1310",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
0b19c9a8-9d49-452e-88e6-6125c7750172,"KNP 18 D13","( Rozdział 02 ) * Transformatory, dławiki, prostowniki i kondensatory","KNP 18 D13 / KNP 18 D13",1,1be7e924-c095-4304-b31c-34c1408e035d,true
6d347920-8f28-4d86-97aa-1904a0392790,"KNP 18 D13 1311","Pomiar transformatorów grupy III","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1311",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
0d7f7a5f-c8f2-4da4-a055-68933bdce352,"KNP 18 D13 1312","Pomiar transformatorów grupy II o mocy do 25 MVA","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1312",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
fa110843-4e58-494d-bc83-734049e18718,"KNP 18 D13 1313","Pomiar dławików średniego napięcia","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1313",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
5c367c4d-6762-441c-9a40-c7f2b3961877,"KNP 18 D13 1315","Pomiar mostków prostowniczych nieregulowanych, trakcyjnych do 1 kV","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1315",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
53352437-692e-4dc9-be11-677f1bfeda93,"KNP 18 D13 1316","Pomiar kondensatorów średniego napięcia","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1316",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
40bfe339-437a-400a-885e-528890458363,"KNP 18 D13 1317","Pomiar baterii kondensatorów niskiego napięcia","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1317",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
c0cb02c0-6a4b-45db-841f-e44b3a4d82ae,"KNP 18 D13","( Rozdział 03 ) * Elektryczne maszyny wirujące","KNP 18 D13 / KNP 18 D13",1,1be7e924-c095-4304-b31c-34c1408e035d,true
7b986970-c283-4a5a-b972-0353a36eefdb,"KNP 18 D13 1319","Pomiar silników asynchronicznych niskiego napięcia","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1319",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
c0017746-e002-4007-8b61-a64fcf4000f0,"KNP 18 D13 1320","Pomiar silników asynchronicznych średniego napięcia","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1320",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
a589d373-8634-4931-9e01-7a18350f8c77,"KNP 18 D13 1321","Pomiar silników synchronicznych i asynchronicznych synchronizowanych średniego napięcia","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1321",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
1bfbc57d-5553-46a0-bf72-242f288fba22,"KNP 18 D13 1322","Pomiar generatorów i kompensatorów średniego napięcia","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1322",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
