price_source_id,rms_index,rms_type,name,unit,min_price,avg_price,max_price,region
00000000-0000-0000-0000-000000000001,"39642","ETO","Przyczepa samowyładowcza  8,0 t, do ci¥gn.","m-g",8.55,11.89,14.6,Poland
00000000-0000-0000-0000-000000000001,"39955","ETO","Samochody WUKO-SW (1)","m-g",75,119.46,176,Poland
00000000-0000-0000-0000-000000000001,"39812","ETO","Samoch¢d samowyładowczy pow.  5-10 t  (1)","m-g",82.15,130.2,170,Poland
00000000-0000-0000-0000-000000000001,"39815","ETO","Samoch¢d samowyładowczy pow. 20-25 t  (1)","m-g",106,146.49,177.67,Poland
00000000-0000-0000-0000-000000000001,"39814","ETO","Samoch¢d samowyładowczy pow. 15-20 t  (1)","m-g",95,137.84,171.63,Poland
00000000-0000-0000-0000-000000000001,"39956","ETO","Samochody WUKO-SC (1)","m-g",81.5,126.94,194,Poland
00000000-0000-0000-0000-000000000001,"39911","ETO","Samoch¢d specjalny z platf. i balkonem (2)","m-g",78.5,121.23,132.5,Poland
00000000-0000-0000-0000-000000000001,"39813","ETO","Samoch¢d samowyładowczy pow. 10-15 t  (1)","m-g",91.7,130.01,171,Poland
00000000-0000-0000-0000-000000000001,"39811","ETO","Samoch¢d samowyładowczy       do 5 t  (1)","m-g",78,122.01,142.5,Poland
00000000-0000-0000-0000-000000000001,"39981","ETO","Beczkow¢z ci¥gniony 1500 dm3","m-g",7.5,9.36,10.88,Poland
00000000-0000-0000-0000-000000000001,"39982","ETO","Beczkow¢z ci¥gniony 2500 dm3","m-g",8.75,10.48,12,Poland
00000000-0000-0000-0000-000000000001,"42213","ETO","Zbiornik do cementu,bez dozownika,16-25m3","m-g",4,5.04,5.75,Poland
00000000-0000-0000-0000-000000000001,"39961","ETO","Samoch¢d beczkow¢z 4 t  (1)","m-g",44,61.52,68.5,Poland
00000000-0000-0000-0000-000000000001,"43315","ETO","Betoniarka przeciwb.kondygnacyjna  500 dm3","m-g",12.75,17.63,35.75,Poland
00000000-0000-0000-0000-000000000001,"43251","ETO","Betoniarka wolnospadowa spalinowa  150 dm3","m-g",7.95,9.91,11.5,Poland
00000000-0000-0000-0000-000000000001,"43212","ETO","Betoniarka wolnospadowa elektrycz. 250 dm3","m-g",4.56,7.48,9,Poland
00000000-0000-0000-0000-000000000001,"43213","ETO","Betoniarka wolnospadowa elektrycz. 400 dm3","m-g",7.62,10.39,13.25,Poland
00000000-0000-0000-0000-000000000001,"44141","ETO","Pompa do betonu na sam.60 m3/h(1),rur.20 m","m-g",175,291.65,400,Poland
00000000-0000-0000-0000-000000000001,"48523","ETO","Podest ruch.wisz.przej.RwZRp 300/35 1 kpl","m-g",5.51,8.3,10.34,Poland
00000000-0000-0000-0000-000000000001,"51121","ETO","Mieszarka do stab.gruntu doczepna(b/ci¥gn)","m-g",6.23,6.93,8.19,Poland
00000000-0000-0000-0000-000000000001,"52212","ETO","Kocioł do grzania bitumu 1500 dm3","m-g",4.83,6.14,7.5,Poland
00000000-0000-0000-0000-000000000001,"52211","ETO","Kocioł do gotowania lepiku 50-100 dm3","m-g",1.71,3.34,4.14,Poland
00000000-0000-0000-0000-000000000001,"52274","ETO","Skrapiarka do bitumu samoch. 5000 dm3 (2)","m-g",83.5,122.43,148.35,Poland
00000000-0000-0000-0000-000000000001,"52271","ETO","Skrapiarka do bitumu, przewoźna (bez ciągnika) z mechaniczną pompą 1500 dm3","m-g",19.42,21.63,23.6,Poland
00000000-0000-0000-0000-000000000001,"52232","ETO","Kocioł transp.-produkc.do asfaltu 1800 dm3","m-g",60,69.39,77.5,Poland
